TIME_PERIOD,Bioenergy,Geothermal,Hydro,Natural gas,Nuclear heat,Oil and petroleum products (excluding biofuel portion),Solar thermal,Solid fossil fuels,Wind
1990,3797.859,0.0,1498.366,54980.245,39636.271,126176.476,11.178,128537.786,6.105
1991,3755.634,0.0,1280.396,57724.183,38003.468,131792.142,14.617,114687.384,18.487
1992,3823.808,0.0,1495.873,56800.172,41010.203,133624.176,18.917,104375.332,25.021
1993,3859.625,0.0,1537.231,59687.489,39582.23,134580.701,24.076,98096.551,57.954
1994,3910.624,0.0,1713.672,61188.801,38922.671,134501.025,30.954,95718.336,122.786
1995,3920.241,0.0,1872.743,67297.506,39555.646,134918.298,37.833,91611.423,147.206
1996,4047.429,0.0,1887.962,75261.565,41324.993,138025.838,47.291,90674.699,178.676
1997,5306.893,0.0,1492.433,71948.28,43988.091,138444.86,59.329,86895.16,260.877
1998,5734.773,0.0,1480.31,72728.74,41696.647,139057.106,71.367,84807.064,394.927
1999,5703.59,0.0,1689.338,71995.765,43853.138,134323.299,93.723,80726.514,475.322
2000,6196.341,0.0,1868.616,71853.16,43750.473,131076.495,110.92,84827.853,804.127
2001,6635.704,0.0,1954.686,75590.95,44188.736,133815.062,139.295,86504.676,899.054
2002,7258.316,0.0,1988.306,75570.679,42521.582,128562.203,164.23,84104.575,1363.371
2003,10257.485,38.43,1575.322,75875.156,42583.62,126968.403,217.326,84990.043,1641.187
2004,11673.527,41.225,1783.835,76185.391,43095.013,125864.054,220.431,85422.314,2237.231
2005,14054.852,48.963,1688.564,77781.813,42060.619,124586.375,260.342,81841.466,2388.134
2006,17646.967,48.82,1722.356,79295.861,43147.635,124875.056,305.006,86145.682,2693.379
2007,20177.853,48.51,1820.206,76495.034,36251.247,113071.307,338.301,86109.091,3482.975
2008,20978.477,68.047,1757.782,77161.91,38304.815,119209.328,384.685,80108.009,3558.469
2009,20911.049,75.213,1636.371,72731.085,34733.2,111915.105,451.395,72071.598,3389.51
2010,23993.767,88.421,1801.634,75904.42,36200.8,113187.112,480.845,79075.728,3314.445
2011,23711.598,79.44,1519.518,69595.685,27807.2,109411.977,549.369,77965.871,4287.016
2012,26416.531,93.03,1870.593,69819.018,25618.6,109555.286,570.889,79918.633,4443.68
2013,26781.142,147.893,1977.472,73101.739,25052.2,112089.375,576.168,81561.127,4534.566
2014,25784.91,182.048,1684.179,63374.143,25010.7,109724.02,619.614,79604.753,5029.837
2015,25933.362,212.764,1631.642,65154.093,23636.344,109861.657,662.63,79414.733,6932.416
2016,25668.531,267.77,1766.638,70329.903,21794.7,110772.214,661.484,77130.836,6872.227
2017,25956.141,255.47,1732.588,75341.894,19654.7,113172.073,675.289,71308.498,9087.962
2018,26238.588,301.782,1521.324,73552.197,19571.0,108463.734,763.113,69738.493,9454.084
2019,26421.967,333.309,1696.561,75620.41,19332.0,109974.225,729.388,56465.035,10824.936
2020,27138.049,373.03,1609.716,74599.95,16576.8,99459.457,765.668,44655.002,11358.727
2021,29258.121,396.938,1690.198,77181.74,17768.59,97759.956,735.263,53915.451,9816.767
2022,29123.05,414.708,1515.391,66763.198,8938.0,100139.026,837.035,55683.123,10732.244
2023,27650.785,397.511,1710.576,64061.598,1859.0,93499.661,784.657,42378.463,12084.093
